Feeder,DeviceID,Type,Rating,Description,Lat,Lon,Source,ParentID,MeterCount,VerifiedStatus,VerifiedDate
ALA09,ALA09WF-713,WF,50K,บ.วงศ์บัญฑิต,8.524728,98.705066,gis,ALA09WF-712,,,
ALA09,ALA09WF-714,WF,50K,บ.บางโทง,8.525659,98.719397,gis,ALA09WF-113,,,
ALA09,ALA09WF-715,WF,10K,โรงยางมะตอย,8.564785,98.733608,gis,ALA09WF-123,,,
ALA09,ALA09WF-716,WF,2K,,8.572275,98.732856,gis,ALA09WF-124,,,
ALA09,ALA09WF-717,WF,15K,บ.นาบยบ,8.595607,98.744491,gis,ALA09WF-134,,,
ALA09,ALA09WF-718,WF,10K,โรงงานมิ่งฮั้ว,8.651106,98.776237,gis,ALA09WF-147,,,
ALA09,ALA09WF-719,WF,8K,โรงงานผลไม้แอด,8.651634,98.779511,gis,ALA09WF-148,,,
ALA09,ALA09WS-901,WS,400A,บริษัท โมเดิร์น กรีนพาวเวอร์ จำกัด,8.514533,98.694757,gis,ALA09WS-902,,,
ALA09,ALA09WS-902,WS,600A,บริษัท โมเดิร์น กรีนพาวเวอร์ จำกัด,8.514497,98.694757,gis,ALA09WF-704,,,
ALA09,37-013234,TRANSFORMER,30kVA,DCC_,8.519246,98.711576,gis,ALA09WF-713,28,,
ALA09,66-112227,TRANSFORMER,250kVA,บริษัท วานิช ออยล์ จำกัด,8.518878,98.701219,gis,ALA09WF-712,1,,
ALA09,42-003276,TRANSFORMER,30kVA,DCC_,8.520463,98.692604,gis,ALA09WF-108,28,,
ALA09,60-002927,TRANSFORMER,30kVA,DCC_ปป.บ้านควนสบาย,8.542233,98.70629,gis,ALA09WF-111,26,,
ALA09,65-031911,TRANSFORMER,30kVA,ไฟสาธารณะ,8.584651,98.742036,gis,ALA09WF-132,1,,
ALA09,58-011573,TRANSFORMER,160kVA,ร.ร.อนุบาลบางเท่าแม่,8.613724,98.752369,gis,ALA09WF-139,2,,
ALA09,61-107585,TRANSFORMER,1000kVA,โรงยางมะตอย,8.564706,98.733203,gis,ALA09WF-715,,,
ALA09,60-005251,TRANSFORMER,50kVA,รพ.สต.บ้านเขาต่อ,8.570492,98.740542,gis,ALA09WF-127,,,
ALA09,40-113571,TRANSFORMER,50kVA,สถานีโทรคมนาคมกรมช่างทหารอากาศบ้านทุ่งสูง,8.500567,98.7005,gis,ALA09WF-106,1,,
ALA09,62-104706,TRANSFORMER,100kVA,สนง.ก่อสร้างทางหลวง เขาต่อ-พนมม.2 ต.เขาต่อ,8.639348,98.7723,gis,ALA09WF-145,1,,
ALA09,58-006180,TRANSFORMER,30kVA,บ้านหินดาน,8.463877,98.737463,gis,ALA09WF-103,,,
ALA09,27-007912,TRANSFORMER,160kVA,บริษัทสวนปาล์มสหกาญจน์ จก.,8.497293,98.706593,gis,ALA09WF-105,,,
