Feeder,TransformerID,RatedKVA,Phase,Location,CustomerType,Lat,Lon
ALA06,58-011147,100,7,เซเว่นอ่าวลึกแหลมสัก,2.0,8.389344927,98.732768445
ALA03,52-006112,30,2,DCC_ซอยสหกรณ์ 1 เครื่อง 2,1.0,8.432511966,98.831262329
ALA01,59-023145,100,7,เซเว่นอีเลฟเว่น สาขาบากัน ม.4 ต.คลองหิน,2.0,8.304845665,98.78035638
ALA03,61-002134,30,1,DCC_ซอยสามหน้า บ.ทับใน  ม.13  ต.ปลายพระยา,1.0,8.667930136,98.849259045
ALA02,62-103686,50,7,อู่ซ่อมรถ นายไพรัช,2.0,8.352323996,98.758779459
ALA03,26-007888,10,2,ซอยหลวงเท่ง เขาต่อ,1.0,8.562998695,98.763468951
ALA03,58-020502,30,4,ประปา อบต คลองยา ซอย9,2.0,8.393845241,98.849401082
ALA03,51-009207,30,4,ประปาหมู่บ้านนา ม.4,4.0,8.465978344,98.782308645
ALA01,60-100050,50,7,นายธวัฒน์ วงสะอาด,2.0,8.297695308,98.787678169
ALA02,58-010914,50,7,DCC_ม.1 ต.อ่าวลึกเหนือ(จัดสรรถิรเดช),1.0,8.372860202,98.745323704
ALA06,58-010846,50,7,ศูนย์เด็กเล็กเทศบาล ต.อ่าวลึกใต้,1.0,8.394222434,98.728915537
ALA03,60-104409,30,2,ไฟทางหลวง แขวงทางหลวงชนบท,4.0,8.426852258,98.818790857
ALA01,61-108572,50,7,ร้านปะยาง,2.0,8.35608904,98.755554647
ALA06,36-020229,30,4,DCC_ซอยประสานมิตร(บ่อนไก่),1.0,8.379810453,98.728724599
ALA06,45-012205,30,1,DCC_บ้านควนวังทอง ลูกที่ 3,1.0,8.402683105,98.735186576
ALA02,59-000903,30,2,ประปา ซ.18 ลูกที่ 2,4.0,8.372175532,98.889861352
ALA07,55-940194,50,7,บ้านปากน้ำ,1.0,8.517270835,98.853963299
ALA06,56-110164,30,2,ไร่ปรีดาโฮมสเตย์,2.0,8.402528449,98.686803646
ALA06,65-023245,100,7,หมู่บ้านปภาดา ม.2 ต.อ่าวลึกใต้,1.0,8.377675573,98.729353282
ALA03,54-012075,30,1,DCC_บ้านช่องแบก (กชน.ซอย 3),1.0,8.489662294,98.789602067
ALA02,54-001559,30,1,DCC_บ้านศาลาพระม่วง,1.0,8.284780997,98.804445594
ALA02,40-012300,30,1,DCC_บ้านคลองหิน,1.0,8.298334194,98.81081352
ALA03,54-015408,50,7,โรงเรียนอนุบาลกานตราช,2.0,8.403624719,98.746496341
ALA02,55-110082,100,7,สวนพิธานปาล์ม ม.2 คลองหิน,2.0,8.320202657,98.872292761
ALA06,65-019277,50,7,บ.ดินแดง,1.0,8.426729033,98.688059332
ALA03,65-006953,100,7,ซีพีออล์ บ้านตัวอย่าง,2.0,8.551506513,98.818107481
ALA07,62-110610,50,7,น.ส.อรุณวดี ปล้องทับ บางบอน วัสดุก่อสร้าง,2.0,8.543772296,98.869721965
ALA07,53-002058,30,2,DCC_บ้านน้ำจาน ก่อนถึงถ.เซาเทิร์น,1.0,8.401623011,98.792578526
ALA02,61-002700,30,2,ไฟทางหลวง แขวงชนบทกระบี่ บ้านไซเรียง,4.0,8.313726873,98.834430478
ALA03,62-006623,30,4,DCC_บ.ทัพพระยา,1.0,8.580133345,98.858230264
ALA02,62-112069,30,2,บ.เขางาม,2.0,8.353477376,98.784708338
ALA01,62-006664,160,7,DCC_บ.นาแค ต.อ่าวลึกน้อย,1.0,8.303259074,98.767558308
ALA07,45-004952,30,4,บ้านบางเหลียว,1.0,8.449175851,98.841195922
ALA03,31-005600,50,7,บริษัท สงวนปาล์ม จำกัด,2.0,8.542522695,98.837658255
ALA05,54-000667,30,2,DCC_บ้านเขาลังตัง,1.0,8.47670856,98.709852441
ALA06,60-038138,100,7,เซเว่นอีเลฟเว่น สาขาช่องเขา ม.2 ต.อ่าวลึกเหนือ,2.0,8.374742933,98.74309802
ALA03,58-016718,30,2,DCC_ประปาบ้านช่องแบก,1.0,8.516135127,98.779786861
ALA02,56-014456,100,7,เซเว่น บ้านนพ,2.0,8.290146486,98.794877814
ALA02,57-103139,30,2,รีสอร์ท นายทวีศักดิ์,2.0,8.417285862,98.738466492
ALA01,57-012892,100,7,เซเว่นฯอ่าวลึกใต้,2.0,8.399674642,98.741983592
ALA06,61-002015,30,2,TR นายทนงศักดิ์  ย่องบุตร,2.0,8.380299958,98.697745446
ALA03,62-006632,30,2,DCC_บ.ห้วยกรวด,1.0,8.420298631,98.827712987
ALA01,63-016763,160,7,DCC_บ.คลองหิน,1.0,8.289717996,98.793611907
ALA02,45-013158,30,4,DCC_บ้านสายไฟพาด,1.0,8.293507372,98.801432163
ALA07,54-000766,30,2,DCC_บ้านเหนือ ม.2,1.0,8.391391477,98.759146092
ALA03,54-000779,30,2,สหกรณ์นิคมอ่าวลึก,2.0,8.444483068,98.875648978
ALA03,59-000911,30,1,ม.3 ฟาร์มไก่ นางสาวรัญจวน,2.0,8.507014444,98.835377535
ALA07,62-000026,500,7,รพ.อ่าวลึก,4.0,8.402618453,98.74376339
ALA02,45-013048,30,2,บ้านกลาง,1.0,8.333482754,98.775581366
ALA03,66-014295,50,7,ซลประทาน 18,1.0,8.347976592,98.869912639
ALA03,63-034325,30,2,ซ.สหกรณ์12,1.0,8.393674484,98.864456626
ALA06,64-104904,100,7,บ้านช่องเขา,2.0,8.374648976,98.728578625
ALA06,41-005312,30,4,บ.ควนดินแดง,1.0,8.435537042,98.70229115
ALA07,66-007862,30,2,ฟราม์ไก่ นายสมพร,2.0,8.413810134,98.805792364
ALA07,30-005564,10,4,บ.โคกเจียด,1.0,8.511502112,98.876612257
ALA02,66-014200,30,2,บ.ช่องไม้ดำ ม.5 ต.คลองหิน อ.อ่าวลึก,1.0,8.29001751,98.893633732
ALA03,63-103525,30,4,ไฟสาธารณะช่วง 1,1.0,8.613362349,98.836441346
ALA01,59-107700,30,1,ไฟทางหลวง จุดที่ 5 บ้านกลาง,4.0,8.351393597,98.758739387
ALA06,60-100985,50,4,ประปาหมู่บ้าน บ้านอ่าวน้ำ,4.0,8.318948526,98.643494909
ALA03,63-015799,30,1,ทะเลตก,1.0,8.631233534,98.845194739
ALA03,61-002689,30,2,ช่องหลำ,1.0,8.588042747,98.901146408
ALA03,45-013132,30,1,บ้านคลองปัญญา,1.0,8.602047447,98.819639476
ALA09,68-113693,250,7,บริษัทเวียงสระคอนกรีตอัดแรง ม.3 ต.เขาใหญ่,2.0,8.424837142,98.740477852
ALA03,63-034326,30,2,นองหวายพล,1.0,8.416246519,98.836907522
ALA02,63-010320,30,2,อบต.คลองยา,4.0,8.333277961,98.897278548
ALA03,42-001271,30,2,นายระลึก พวงช่อ (ฟาร์มหมู),2.0,8.576442446,98.759967468
ALA02,53-113444,100,7,ศูนย์ฮิโน่กระบี่ สาขาอ่าวลึก,2.0,8.375310892,98.744261657
