Feeder,Tag,Code,TransformerRef,TotalKVA,Phase,Location,Lat,Lon
ALA06,42PTKA000054160,PEA1,0,0,7,-,8.420323723,98.739673379
ALA03,42PTKA000054161,PEA1,0,0,7,-,8.420315838,98.739689599
ALA07,42PTKA000054162,PEA1,0,0,7,-,8.420309391,98.739706908
ALA02,42PTKA000054163,PEA1,0,0,7,-,8.420301858,98.739723137
ALA05,42PTKA000054165,PEA1,0,0,7,-,8.420377297,98.739588817
ALA09,42PTKA000054167,PEA1,0,0,7,-,8.420426959,98.739608478
ALA06,42PTKA000034063,KAUL,0,0,7,-,8.386232981,98.729442902
ALA02,4281PT000000201,KAUL,2,415,7,-,8.291539331,98.794163826
ALA01,4281PT000000207,1104201,0,0,7,,8.39078187,98.742293416
ALA02,4281PT000000210,1104201,0,0,7,,8.380810994,98.746448753
ALA03,42PTKA000005213,-,1000,0,7,-,8.427021471,98.768642148
ALA01,42PTKA000006273,-,0,500,7,-,8.269404366,98.785479775
