Feeder,Code,Route,CustomerAccount,Location,StationName,Lat,Lon
ALA09,KPPY,9830,020020001409,-,กฟส.ปลายพระยา (XS),8.595685519,98.744524796
ALA09,KPPY,9029,020008820645,-,กฟส.ปลายพระยา (XS),8.618444723,98.753648966
ALA02,KAUL,9830,020019889363,-,กฟส.อ่าวลึก (S),8.351345102,98.781177422
ALA03,KAUL,9830,020021180495,-,กฟส.อ่าวลึก (S),8.425156486,98.76553151
ALA06,KAUL,9830,020008640888,,กฟส.อ่าวลึก (S),8.368196526,98.727524958
ALA02,KAUL,9830,020008640757,,กฟส.อ่าวลึก (S),8.380993376,98.747326372
ALA06,KAUL,9830,020022961682,-,กฟส.อ่าวลึก (S),8.328370478,98.67483372
ALA07,KAUL,9830,020020605824,-,กฟส.อ่าวลึก (S),8.406233875,98.801678256
ALA02,KAUL,9830,020020639155,-,กฟส.อ่าวลึก (S),8.341868473,98.765491084
ALA01,KAUL,9830,020017725649,-,กฟส.อ่าวลึก (S),8.321383927,98.74487906
ALA07,KPPY,9830,020027771323,-,กฟส.ปลายพระยา (XS),8.504492146,98.889054268
ALA01,KAUL,9803,020025093185,-,กฟส.อ่าวลึก (S),8.305810166,98.740102899
ALA03,KPPY,9802,020008820776,,กฟส.ปลายพระยา (XS),8.450919987,98.785899894
ALA02,KAUL,9029,020024110242,-,กฟส.อ่าวลึก (S),8.344496425,98.786113234
ALA01,PEA1,EA11,081000026029,-,กฟส.อ่าวลึก (S),8.420331969,98.739653543
ALA06,PEA1,EA11,081000026029,-,กฟส.อ่าวลึก (S),8.420323723,98.739673379
ALA03,PEA1,EA11,081000026029,-,กฟส.อ่าวลึก (S),8.420315838,98.739689599
ALA07,PEA1,EA11,081000026029,-,กฟส.อ่าวลึก (S),8.420309391,98.739706908
ALA02,PEA1,EA11,081000026029,-,กฟส.อ่าวลึก (S),8.420301858,98.739723137
ALA05,PEA1,EA11,081000026029,-,กฟส.อ่าวลึก (S),8.420377297,98.739588817
ALA09,PEA1,EA11,081000026029,-,กฟส.อ่าวลึก (S),8.420426959,98.739608478
ALA06,KAUL,9803,020008705042,-,กฟส.อ่าวลึก (S),8.386232981,98.729442902
ALA02,KAUL,9810,020008678189,-,กฟส.อ่าวลึก (S),8.291539331,98.794163826
ALA01,KAUL,9803,020028194590,,กฟส.อ่าวลึก (S),8.39078187,98.742293416
ALA02,KAUL,9802,020008704419,,กฟส.อ่าวลึก (S),8.380810994,98.746448753
ALA03,KAUL,9803,020021180501,-,กฟส.อ่าวลึก (S),8.427021471,98.768642148
ALA01,KAUL,9803,020025333515,-,กฟส.อ่าวลึก (S),8.269404366,98.785479775
